"repeatmasker_name" "repeatmasker_subtype" "colors" "fam_gen_perc_RM"
"176" "Gypsy6_Dmoj_gag" "LTR" "not_kmer" 0.0775646414801203
"177" "Gypsy6_pol" "LTR" "not_kmer" 0.0845464425183226
"178" "Harbinger-1_DF_tp" "DNA_Transposon" "not_kmer" 0.00318449865658053
"179" "Harbinger-1_DK_tp" "DNA_Transposon" "not_kmer" 0.013871647957751
"180" "Harbinger-1_NV_tp" "DNA_Transposon" "not_kmer" 0.095877941848014
"181" "Harbinger-1_XT_tp" "DNA_Transposon" "not_kmer" 0.108640770798352
"182" "HARBINGER-2_AFC" "DNA_Transposon" "not_kmer" 0.00385401860809051
"183" "Harbinger-2_XT_tp" "DNA_Transposon" "not_kmer" 0.0237466477438067
"184" "Harbinger-2B_DRh_tp" "DNA_Transposon" "not_kmer" 0.0323302626810351
"185" "Harbinger-5_XT_tp" "DNA_Transposon" "not_kmer" 0.0104888103080164
"186" "Harbinger-6_MLP_tp" "DNA_Transposon" "not_kmer" 0.00267472381630802
"187" "Harbinger3_DR_tp" "DNA_Transposon" "not_kmer" 0.0721564640271964
"188" "hAT-12_HM_tp" "DNA_Transposon" "not_kmer" 0.125607312486842
"189" "hAT-54_HM_tp" "DNA_Transposon" "not_kmer" 0.0347559720592376
"190" "hAT-8_AP_tp" "DNA_Transposon" "not_kmer" 0.0124295791699624
"191" "hATm-24_HM_tp" "DNA_Transposon" "not_kmer" 0.0150690650940857
"192" "Helitron-1_AAe" "RC" "not_kmer" 0.0397627731402288
"193" "Helitron-1_AC_hel" "RC" "not_kmer" 0.347003297494831
"194" "Helitron-1_AP_hel" "RC" "not_kmer" 0.108601505718489
"195" "Helitron-1_BM_hel" "RC" "not_kmer" 0.0552872460409305
"196" "Helitron-2_AC_hel" "RC" "not_kmer" 0.135749449055556
"197" "HMSBeagle_gag" "LTR" "not_kmer" 0.183661236462734
"198" "HMSBeagle_pol" "LTR" "not_kmer" 0.455128252671393
"199" "I-1_DBp_pol" "LINE" "not_kmer" 0.141310659640253
"200" "I-1_NVi_pol" "LINE" "not_kmer" 0.00852052233026906
"201" "I-2_DBp_pol" "LINE" "not_kmer" 0.00930750192239482
"202" "I-2_DWi_gag" "LINE" "not_kmer" 0.02007620177405
"203" "I-2_DWi_pol" "LINE" "not_kmer" 0.0343509040985998
"204" "I-4_DAn_pol" "LINE" "not_kmer" 0.00568773139758951
"205" "I-5_DK_pol" "LINE" "not_kmer" 0.041962960008449
"206" "I-53_AAe_pol" "LINE" "not_kmer" 0.0129856666685348
"207" "Invader3" "LTR" "not_kmer" 0.0167561211323015
"208" "IVK_DM_pol" "LINE" "not_kmer" 0.0300837631545149
"209" "Jockey-1_CQ_pol" "LINE" "not_kmer" 0.0218095704705658
"210" "Jockey-1_DEl_pol" "LINE" "not_kmer" 0.00574713241584378
"211" "Jockey-1_DEu_pol" "LINE" "not_kmer" 0.123862197826265
"212" "Jockey-1_DF_gag" "LINE" "not_kmer" 0.0144253862635112
"213" "Jockey-1_DF_pol" "LINE" "not_kmer" 0.47332711378943
"214" "Jockey-1_DYa_gag" "LINE" "not_kmer" 0.019642272301718
"215" "Jockey-11_DAn_pol" "LINE" "not_kmer" 0.0537317448002043
"216" "Jockey-14_DBp_pol" "LINE" "not_kmer" 0.107526917806341
"217" "Jockey-2_DBi_pol" "LINE" "not_kmer" 0.0373766644408624
"218" "Jockey-2_DK_pol" "LINE" "not_kmer" 0.0266270937306789
"219" "Jockey-2_DRh_pol" "LINE" "not_kmer" 4.63126582999382e-05
"220" "Jockey-3_DT_gag" "LINE" "not_kmer" 0.0706419058611991
"221" "Jockey-4_DRh_pol" "LINE" "not_kmer" 0.000310429050198861
"222" "Jockey-4_Hmel_pol" "LINE" "not_kmer" 0.012018134828834
"223" "Jockey-5_DBp_pol" "LINE" "not_kmer" 0.000679252321732426
"224" "Jockey-5_DF_pol" "LINE" "not_kmer" 0.398856359243129
"225" "Jockey-6_DBp_pol" "LINE" "not_kmer" 0.152057881157625
"226" "Jockey-6_DEl_pol" "LINE" "not_kmer" 0.0808793525382978
"227" "Jockey-6_DYa_gag" "LINE" "not_kmer" 0.07013984979731
"228" "Jockey-6_DYa_pol" "LINE" "not_kmer" 0.0562806190015669
"229" "Jockey-7_DF_pol" "LINE" "not_kmer" 0.00753016976039139
"230" "Jockey-7_HMM_pol" "LINE" "not_kmer" 0.00893565826010256
"231" "Jockey-8_DAn_pol" "LINE" "not_kmer" 0.000128870005704176
"232" "Kiri-1_DPer_pol" "LINE" "not_kmer" 0.0106334534654604
"233" "Kiri-2_DEl_gag" "LINE" "not_kmer" 0.00399127858812438
"234" "Kiri-2_DTa_pol" "LINE" "not_kmer" 0.241690326114611
"235" "Kiri-21_AAe_pol" "LINE" "not_kmer" 0.0111375231231888
"236" "Kiri-3_DK_pol" "LINE" "not_kmer" 0.0311164011950142
"237" "Kiri-4_DK_pol" "LINE" "not_kmer" 0.017589077783754
"238" "Kiri-4_DTa_pol" "LINE" "not_kmer" 0.0211212569765573
"239" "Kolobok-1_DBp_tp" "DNA_Transposon" "not_kmer" 0.00818626575297385
"240" "LINER1_pol" "LINE" "not_kmer" 0.0700093017967399
"241" "LINER1-2_NVi_pol" "LINE" "not_kmer" 0.00715295651452813
"242" "LOA_Ele3C_AAe_gag" "LINE" "not_kmer" 0.0178703097232856
"243" "LOA_Ele3C_AAe_pol" "LINE" "not_kmer" 0.0303257300141834
"244" "LOA_Ele6_pol" "LINE" "not_kmer" 0.00735599389330684
"245" "LOA_Ele6C_AAe_pol" "LINE" "not_kmer" 0.126621156984843
"246" "Loa-1_DAn_pol" "LINE" "not_kmer" 0.208665037960103
"247" "Loa-1_DBp_pol" "LINE" "not_kmer" 0.0459911544836241
"248" "LOA-1_DGri_pol" "LINE" "not_kmer" 0.0224431813319447
"249" "Loa-1_DK_pol" "LINE" "not_kmer" 0.29478678205857
"250" "LOA-1_DPer_pol" "LINE" "not_kmer" 0.525771836527458
"251" "Loa-1_RPr_pol" "LINE" "not_kmer" 0.0078281816485823
"252" "Loa-1_SIn_pol" "LINE" "not_kmer" 0.0277855813861238
"253" "LOA-1B_DPer_gag" "LINE" "not_kmer" 0.0201198296405644
"254" "LOA-1B_DPer_pol" "LINE" "not_kmer" 0.431221859816349
"255" "LOA-2_CQ_pol" "LINE" "not_kmer" 0.0139485001226111
