kmer_id	Contig
kmer_225472680.0	Contig_6
kmer_249907101.0	Contig_6
kmer_355195463.0	Contig_6
kmer_151189410.0	Contig_6
kmer_178692684.0	Contig_6
kmer_224630093.0	Contig_6
kmer_189736014.0	Contig_6
kmer_437233514.0	Contig_6
kmer_357768672.0	Contig_6
kmer_430070252.0	Contig_6
kmer_244269928.0	Contig_6
kmer_205841549.0	Contig_6
kmer_464797268.0	Contig_6
kmer_507127893.0	Contig_6
kmer_350782534.0	Contig_6
kmer_348892330.0	Contig_6
kmer_33866158.0	Contig_6
kmer_76719940.0	Contig_6
kmer_179639971.0	Contig_6
kmer_375389779.0	Contig_6
kmer_159109155.0	Contig_6
kmer_307110548.0	Contig_6
kmer_332785635.0	Contig_6
kmer_244269939.0	Contig_6
kmer_464357333.0	Contig_6
kmer_367293882.0	Contig_6
kmer_461587960.0	Contig_6
kmer_465308566.0	Contig_6
kmer_206177837.0	Contig_6
kmer_316035356.0	Contig_6
kmer_134866744.0	Contig_6
kmer_355747500.0	Contig_6
kmer_422123685.0	Contig_6
kmer_248669234.0	Contig_6
kmer_474043251.0	Contig_6
kmer_406873833.0	Contig_6
kmer_83753377.0	Contig_6
kmer_197843625.0	Contig_6
kmer_117796420.0	Contig_6
kmer_440439990.0	Contig_6
kmer_221690768.0	Contig_6
kmer_493148276.0	Contig_6
kmer_208243971.0	Contig_6
kmer_391547748.0	Contig_6
kmer_166261061.0	Contig_6
kmer_71270656.0	Contig_6
kmer_412470233.0	Contig_6
kmer_150579389.0	Contig_6
kmer_157848162.0	Contig_6
kmer_306913649.0	Contig_6
kmer_131658019.0	Contig_6
kmer_58818339.0	Contig_6
kmer_26771209.0	Contig_6
kmer_13098560.0	Contig_6
kmer_477241661.0	Contig_6
kmer_26378071.0	Contig_6
kmer_57846956.0	Contig_6
kmer_128694688.0	Contig_6
kmer_299688335.0	Contig_6
kmer_113509152.0	Contig_6
kmer_265322656.0	Contig_6
kmer_377015180.0	Contig_6
kmer_494177453.0	Contig_6
kmer_219710547.0	Contig_6
kmer_269944127.0	Contig_6
kmer_89065262.0	Contig_6
kmer_210126929.0	Contig_6
kmer_471191599.0	Contig_6
kmer_16122089.0	Contig_7
kmer_34170973.0	Contig_7
kmer_77514286.0	Contig_7
kmer_66092977.0	Contig_7
kmer_29600670.0	Contig_7
kmer_248544117.0	Contig_7
kmer_425826197.0	Contig_7
kmer_405938698.0	Contig_7
kmer_75706819.0	Contig_7
kmer_177111114.0	Contig_7
kmer_413854928.0	Contig_7
kmer_164669251.0	Contig_7
kmer_388234470.0	Contig_7
kmer_453995887.0	Contig_7
kmer_365116776.0	Contig_7
kmer_438594830.0	Contig_7
kmer_516558971.0	Contig_7
kmer_526103827.0	Contig_7
kmer_394977919.0	Contig_7
kmer_368302131.0	Contig_7
kmer_465083974.0	Contig_7
kmer_508045179.0	Contig_7
kmer_360612775.0	Contig_7
kmer_349820866.0	Contig_7
kmer_149078396.0	Contig_7
kmer_305521984.0	Contig_7
kmer_131142317.0	Contig_7
kmer_410639992.0	Contig_7
kmer_446506288.0	Contig_7
kmer_430385728.0	Contig_7
kmer_254662952.0	Contig_7
kmer_218207709.0	Contig_7
kmer_431330506.0	Contig_7
kmer_63242791.0	Contig_7
kmer_144679883.0	Contig_7
kmer_338929729.0	Contig_7
kmer_208387903.0	Contig_7
kmer_316442809.0	Contig_7
kmer_426746044.0	Contig_7
kmer_294742760.0	Contig_7
kmer_73416711.0	Contig_7
kmer_171659600.0	Contig_7
kmer_402572443.0	Contig_7
kmer_37058057.0	Contig_7
kmer_84935921.0	Contig_7
kmer_200805487.0	Contig_7
kmer_456378086.0	Contig_7
kmer_371390099.0	Contig_7
kmer_509102145.0	Contig_7
kmer_464432612.0	Contig_7
kmer_505734006.0	Contig_7
kmer_335825242.0	Contig_7
kmer_323836903.0	Contig_7
kmer_252608581.0	Contig_7
kmer_344883014.0	Contig_7
kmer_432818804.0	Contig_7
kmer_332922716.0	Contig_7
kmer_268917347.0	Contig_7
kmer_162987930.0	Contig_7
kmer_384137181.0	Contig_7
kmer_513292617.0	Contig_7
kmer_410008134.0	Contig_7
kmer_122912669.0	Contig_7
kmer_285680425.0	Contig_7
kmer_4608006.0	Contig_7
kmer_7591265.0	Contig_7
kmer_14037646.0	Contig_7
kmer_29089087.0	Contig_7
kmer_83417885.0	Contig_8
kmer_36480994.0	Contig_8
kmer_116829930.0	Contig_8
kmer_272455745.0	Contig_8
kmer_470424112.0	Contig_8
kmer_209582229.0	Contig_8
kmer_88833695.0	Contig_8
kmer_355925214.0	Contig_8
kmer_422715781.0	Contig_8
kmer_253937763.0	Contig_8
kmer_468292251.0	Contig_8
kmer_442072987.0	Contig_8
kmer_384915857.0	Contig_8
kmer_510835708.0	Contig_8
kmer_421272922.0	Contig_8
kmer_240360157.0	Contig_8
kmer_167344393.0	Contig_8
kmer_323920609.0	Contig_8
kmer_253047556.0	Contig_8
kmer_452361860.0	Contig_8
kmer_198437861.0	Contig_8
kmer_83999828.0	Contig_8
kmer_36694842.0	Contig_8
kmer_402533991.0	Contig_8
kmer_171641364.0	Contig_8
kmer_73409478.0	Contig_8
kmer_71506626.0	Contig_8
kmer_166899387.0	Contig_8
kmer_392873163.0	Contig_8
kmer_472600898.0	Contig_8
kmer_505343359.0	Contig_8
kmer_331792747.0	Contig_8
kmer_302503494.0	Contig_8
kmer_132659116.0	Contig_8
kmer_309617278.0	Contig_8
kmer_173965359.0	Contig_8
kmer_350162980.0	Contig_8
kmer_87119012.0	Contig_8
kmer_205675325.0	Contig_8
kmer_269089236.0	Contig_8
kmer_499211255.0	Contig_8
kmer_235335654.0	Contig_8
